clause_id,record_id,clause_text,evidence_start,evidence_end,is_policy_action,instrument_labels,direction,D1,D2,D3,D4,D5,D6,D7,annotator_id,annotation_status
CLAUSE_ce1085dd097ad88ec52d7573,POL_0E7FF81A9104FC7B94D9,"对购买第二套住房的家庭,贷款首付款比例不低于50%、贷款利率不低于基准利率1.1倍。",29,71,,,,,,,,,,,,unlabeled
CLAUSE_1633ce89a0ebadc9b114e882,POL_0E7FF81A9104FC7B94D9,各商业银行暂停发放本地居民家庭购买第三套及以上住房贷款;,71,99,,,,,,,,,,,,unlabeled
CLAUSE_1af4f2792193824eb1ca5645,POL_0E7FF81A9104FC7B94D9,暂停发放非本地居民家庭购买第二套及以上住房贷款。,99,123,,,,,,,,,,,,unlabeled
CLAUSE_e6e516ed026b1ddea0660b1d,POL_0E7FF81A9104FC7B94D9,”,123,124,,,,,,,,,,,,unlabeled
CLAUSE_4de6725de0290168c89c93b0,POL_8032C2FE97BE0D33BE42,四、强化差别化住房信贷政策。,0,14,,,,,,,,,,,,unlabeled
CLAUSE_3040b219859ff369792c957f,POL_8032C2FE97BE0D33BE42,"对贷款购买第二套住房的家庭,首付款比例不低于60%,贷款利率不低于基准利率的1.1倍。",14,57,,,,,,,,,,,,unlabeled
CLAUSE_7954c0e40cc49d5e1f401118,POL_8032C2FE97BE0D33BE42,"人民银行各分支机构可根据当地人民政府新建住房价格控制目标和政策要求,在国家统一信贷政策的基础上,提高第二套住房贷款的首付款比例和利率。",57,124,,,,,,,,,,,,unlabeled
CLAUSE_2b55f37290de643b3d942276,POL_8032C2FE97BE0D33BE42,"银行业监管部门要加强对商业银行执行差别化住房信贷政策情况的监督检查,对违规行为要严肃处理。",124,169,,,,,,,,,,,,unlabeled
CLAUSE_ac17d4bcc7ae8da40be8e507,POL_AB06701B3C1091237B45,"三、个人将购买不足5年的住房转手交易的,全额征收营业税。",0,28,,,,,,,,,,,,unlabeled
CLAUSE_4e37cac5c262df8b2b3e7c43,POL_AB06701B3C1091237B45,"五、对居民家庭向商业银行贷款购买第二套住房的,其首付款比例不得低于60%,贷款利率不得低于基准利率的1.1倍。",28,83,,,,,,,,,,,,unlabeled
CLAUSE_ff05cd27c3d9168faea8516c,POL_AB06701B3C1091237B45,"对为改善居住条件购买第二套住房的,住房公积金个人贷款首付比例不得低于60%,贷款利率不得低于基准利率的1.1倍。",83,139,,,,,,,,,,,,unlabeled
CLAUSE_3a1d7a632b1ad5497cc16d5d,POL_AB06701B3C1091237B45,"七、自本意见发布之日起,暂定在本市已有1套住房的本市户籍居民家庭、能提供自购房之日起算的前2年内在本市累计缴纳1年以上个人所得税缴纳证明或社会保险(城镇社会保险)缴纳证明的非本市户籍居民家庭,限购1套住房(含新建商品住房和二手住房)。",139,256,,,,,,,,,,,,unlabeled
CLAUSE_30f069ddff890b6858af706a,POL_AB06701B3C1091237B45,"对在本市已拥有2套及以上住房的本市户籍居民家庭、拥有1套及以上住房的非本市户籍居民家庭、不能提供2年内在本市累计缴纳1年以上个人所得税缴纳证明或社会保险(城镇社会保险)缴纳证明的非本市户籍居民家庭,暂停在本市向其售房。",256,365,,,,,,,,,,,,unlabeled
